date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-04-25,2149.25,2156.53,2148.28,2130.3,171560.7,-9.44,-0.44,2154.444,2160.661,2153.915,267879.0,277554.8,289013.68
2016-04-22,2135.92,2161.8,2157.72,2133.81,201985.69,10.0,0.47,2156.434,2160.677,2153.961,282388.69,290611.23,291826.17
2016-04-21,2138.29,2171.45,2147.72,2129.91,306289.5,-7.17,-0.33,2161.304,2157.285,2152.954,289629.27,293235.41,298666.85
2016-04-20,2166.28,2169.65,2154.89,2093.82,475652.59,-8.72,-0.4,2167.534,2156.453,2154.332,278129.09,288439.5,300976.21
2016-04-19,2169.89,2173.09,2163.61,2156.18,183906.5,5.38,0.25,2170.82,2157.768,2155.251,285227.51,269223.92,302459.2
2016-04-18,2166.0,2168.9,2158.23,2154.38,244109.19,-23.84,-1.09,2166.878,2159.433,2156.74,287230.6,289707.8,332396.21
2016-04-15,2182.11,2190.73,2182.07,2172.97,238188.59,3.2,0.15,2164.92,2160.388,2155.887,298833.77,300200.77,351319.56
2016-04-14,2183.12,2190.87,2178.87,2166.63,248788.56,7.55,0.35,2153.266,2157.835,2153.358,296841.55,308663.75,358449.08
2016-04-13,2157.21,2197.74,2171.32,2157.21,511144.69,27.42,1.28,2145.372,2155.701,2151.221,298749.92,319418.72,376200.44
2016-04-12,2147.81,2150.57,2143.9,2135.29,193921.98,-4.54,-0.21,2144.716,2149.255,2147.711,253220.34,293958.86,367966.77
2016-04-11,2140.56,2167.65,2148.44,2140.56,302125.03,24.64,1.16,2151.988,2147.168,2144.436,292184.99,300472.57,375827.98
2016-04-08,2125.45,2132.73,2123.8,2114.26,228227.47,-15.6,-0.73,2155.856,2147.244,2140.55,301567.78,293041.11,372943.46
2016-04-07,2174.88,2177.12,2139.4,2138.33,258330.44,-28.64,-1.32,2162.404,2148.623,2137.433,320485.96,304098.29,371968.58
2016-04-06,2167.45,2176.9,2168.04,2156.52,283496.78,-12.22,-0.56,2166.03,2152.211,2136.059,340087.53,313512.91,378093.7
2016-04-05,2151.37,2186.92,2180.26,2147.09,388745.22,12.48,0.58,2153.794,2152.733,2133.415,334697.38,335694.48,383420.54
2016-04-01,2156.78,2168.33,2167.78,2124.13,349038.97,11.24,0.52,2142.348,2154.046,2129.785,308760.15,375084.62,384012.64
2016-03-31,2166.42,2171.79,2156.54,2149.24,322818.38,-0.99,-0.05,2138.632,2151.386,2127.509,284514.45,402438.35,409537.26
2016-03-30,2124.53,2160.5,2157.53,2124.09,356338.28,50.67,2.4,2134.842,2148.88,2122.346,287710.63,408234.41,416134.67
2016-03-29,2127.8,2133.81,2106.86,2100.92,256546.05,-16.17,-0.76,2138.392,2146.74,2116.64,286938.3,432982.16,423807.16
2016-03-28,2152.81,2166.92,2123.03,2116.98,259059.06,-26.17,-1.22,2151.672,2146.166,2109.957,336691.58,441974.68,425777.79
2016-03-25,2137.15,2156.8,2149.2,2135.53,227810.48,11.61,0.54,2165.744,2141.704,2101.036,441409.09,451183.39,432405.63
2016-03-24,2161.17,2161.17,2137.59,2137.19,338799.28,-37.69,-1.73,2164.14,2133.856,2091.346,520362.24,452845.81,434168.49
2016-03-23,2170.16,2186.02,2175.28,2159.46,352476.62,2.02,0.09,2162.918,2126.242,2081.096,528758.19,439838.86,438458.3
2016-03-22,2181.98,2196.37,2173.26,2167.43,505312.44,-20.13,-0.92,2155.088,2119.906,2074.402,579026.02,442674.49,433948.93
2016-03-21,2156.95,2214.64,2193.39,2154.49,782646.62,52.21,2.44,2140.66,2114.096,2067.214,547257.79,431146.6,422121.4
2016-03-18,2140.27,2165.15,2141.18,2131.38,622576.25,9.7,0.46,2117.664,2105.524,2060.238,460957.7,392940.67,402518.71
2016-03-17,2135.06,2156.89,2131.48,2113.44,380779.03,-4.65,-0.22,2103.572,2103.633,2053.384,385329.37,416636.17,382209.55
2016-03-16,2087.28,2142.16,2136.13,2084.77,603815.75,35.01,1.67,2089.566,2095.812,2047.274,350919.53,424034.94,378639.9
2016-03-15,2077.51,2105.04,2101.12,2055.32,346471.31,22.71,1.09,2084.724,2086.54,2041.19,306322.96,414632.17,365635.88
2016-03-14,2079.91,2117.83,2078.41,2071.12,351146.16,7.69,0.37,2087.532,2073.747,2036.179,315035.41,409580.9,363615.96
2016-03-11,2043.25,2071.09,2070.72,2039.59,244434.61,9.27,0.45,2093.384,2060.367,2029.672,324923.64,413627.86,355505.27
2016-03-10,2089.86,2102.99,2061.45,2060.06,208729.81,-50.47,-2.39,2103.694,2048.835,2024.499,447942.97,415491.16,353511.44
2016-03-09,2073.27,2112.86,2111.92,2053.84,380832.91,-3.24,-0.15,2102.058,2035.95,2020.138,497150.35,437077.75,355585.1
2016-03-08,2102.25,2118.04,2115.16,2037.29,390033.56,7.49,0.35,2088.356,2028.897,2012.161,522941.37,425223.37,347528.5
2016-03-07,2122.55,2133.56,2107.67,2097.78,400587.31,-14.6,-0.69,2059.962,2020.333,2004.884,504126.38,413096.21,341105.09
2016-03-04,2045.12,2128.57,2122.27,2040.08,859531.25,69.0,3.36,2027.35,2014.952,1996.354,502332.09,412096.76,334743.3
2016-03-03,2043.37,2057.16,2053.27,2031.54,454766.72,9.86,0.48,1993.976,2003.136,1988.891,383039.36,347782.92,310888.18
2016-03-02,1980.46,2045.82,2043.41,1979.17,509788.03,70.22,3.56,1969.842,1998.736,1981.864,377005.14,333244.86,303008.12
2016-03-01,1944.56,1988.57,1973.19,1931.98,295958.59,28.58,1.47,1969.438,1995.839,1977.366,327505.37,316639.6,297170.05
2016-02-29,1951.68,1953.32,1944.61,1891.1,391615.84,-10.79,-0.55,1980.704,1998.61,1976.287,322066.03,317651.03,301247.84
2016-02-26,1946.96,1965.91,1955.4,1930.0,263067.62,22.8,1.18,2002.554,1998.977,1982.329,321861.43,297382.68,292537.58
2016-02-25,2038.16,2038.18,1932.6,1925.2,424595.62,-108.79,-5.33,2012.296,2000.163,1987.657,312526.49,291531.71,292916.8
2016-02-24,2020.59,2041.88,2041.39,2009.35,262289.16,11.87,0.58,2027.63,2004.327,1993.076,289484.58,274092.46,288864.28
2016-02-23,2051.57,2051.57,2029.52,2013.98,268761.91,-24.34,-1.19,2022.24,1995.425,1995.442,305773.84,269833.62,295360.39
2016-02-22,2025.18,2064.61,2053.86,2016.36,390592.84,49.75,2.48,2016.516,1989.435,2000.394,313236.04,269113.97,300533.38
